Stkcd,Size,BM,OP,INV
2725,A,b,a,b
2726,B,a,b,b
2727,B,b,c,c
2728,A,b,b,c
2729,A,a,b,b
2730,A,a,b,b
2731,A,b,b,a
2732,A,a,c,b
2733,A,b,a,b
2734,A,b,b,b
2735,A,a,b,c
2736,B,c,b,b
2737,B,b,c,b
2740,A,c,a,c
2741,A,b,b,c
2742,A,b,c,c
2743,A,c,a,b
2745,B,c,c,c
2746,A,b,a,b
2747,B,b,b,c
2748,A,b,c,b
2749,A,b,c,a
2750,A,a,b,b
2751,A,b,b,c
2752,A,c,b,c
2753,A,b,c,c
2755,A,b,a,c
2756,A,b,b,b
2757,A,b,c,b
2758,A,b,b,b
2759,A,c,a,b
2760,A,a,a,a
2761,A,a,a,a
2762,A,b,b,b
2763,A,b,c,b
2765,A,c,b,b
2766,A,c,a,c
2767,A,b,b,b
2768,A,b,c,c
2769,A,c,b,a
2770,A,b,a,b
2771,A,b,b,b
2772,A,c,b,c
2773,B,b,c,c
2775,A,b,c,c
2776,A,b,a,b
2777,A,b,c,b
2778,A,a,b,b
2779,A,b,a,b
2780,A,a,a,c
2781,A,c,b,c
2782,A,b,b,b
2783,A,b,b,c
2785,A,b,a,b
2786,A,c,b,c
2787,A,b,b,b
2788,A,c,c,c
2789,A,c,b,c
2790,A,c,c,b
2791,A,c,b,b
2792,A,b,b,b
2793,A,b,c,b
2795,A,b,b,b
2796,A,b,b,b
2797,B,c,b,b
2798,A,b,b,c
2799,A,a,a,b
2800,A,b,b,c
2801,A,b,c,b
2802,A,a,b,b
2803,A,a,c,c
2805,A,a,b,c
2806,A,a,b,b
2807,A,c,b,b
2808,A,a,b,b
2809,A,b,b,c
2810,A,b,b,c
2811,A,c,b,b
2812,B,a,b,b
2813,A,c,a,c
2815,A,c,c,c
2816,A,b,a,b
2817,A,a,b,b
2818,A,c,c,b
2820,A,a,b,b
2821,B,a,c,b
2822,A,c,b,c
2823,A,b,c,c
2824,A,b,b,c
2825,A,b,b,b
2826,A,a,b,b
2827,A,b,c,a
2828,A,b,b,c
2829,A,b,b,c
2830,A,b,b,c
2831,B,b,c,c
2832,A,a,c,b
2833,A,a,c,c
2835,A,b,a,a
2836,A,a,c,a
2837,A,b,c,c
2838,A,a,b,a
2839,B,c,b,b
2840,A,a,b,b
2841,A,c,c,c
2842,A,b,b,c
2843,A,a,b,c
2845,A,c,c,c
2847,A,b,c,c
2848,A,c,a,b
2857,A,b,b,c
600000,B,c,c,b
600004,B,a,c,c
600006,B,c,a,a
600007,B,b,c,b
600008,B,c,b,c
600009,B,a,c,a
600010,B,c,b,b
600011,B,c,a,c
600012,B,b,c,b
600015,B,c,c,b
600016,B,c,c,a
600017,B,c,b,a
600018,B,b,c,c
600019,B,c,c,c
600020,B,c,b,b
600021,B,c,b,c
600023,B,b,b,b
600026,B,c,b,b
600027,B,c,a,a
600028,B,c,b,b
600029,B,c,c,b
600030,B,c,b,b
600031,B,b,b,a
600033,B,c,b,a
600035,B,b,b,c
600036,B,c,c,b
600037,B,b,b,a
600038,B,b,b,b
600039,B,c,b,b
600048,B,c,c,c
600050,B,c,a,a
600051,A,c,c,a
600052,A,c,b,b
600053,B,a,c,b
600054,B,a,c,a
600055,B,a,b,b
600056,B,b,c,b
600057,B,c,b,c
600058,B,c,a,a
600059,B,a,b,a
600060,B,b,b,b
600061,B,c,b,b
600062,B,a,c,b
600063,B,c,a,a
600064,B,c,b,b
600066,B,b,c,a
600067,B,c,c,b
600068,B,c,c,c
600069,B,a,a,a
600070,A,b,b,a
600071,A,a,b,a
600072,B,b,a,a
600073,B,b,b,a
600074,A,a,c,a
600075,B,b,c,b
600076,A,b,c,c
600077,B,c,b,c
600078,A,c,b,b
600079,B,c,c,c
600080,A,a,a,a
600081,A,b,c,b
600082,A,b,a,b
600083,A,a,c,a
600085,B,a,c,b
600088,A,a,b,b
600089,B,c,b,b
600090,A,b,c,a
600091,A,b,a,a
600093,B,c,a,c
600094,B,c,c,b
600095,A,a,b,a
600096,B,c,b,a
600097,A,a,b,b
600098,B,c,b,b
600099,A,a,a,a
600100,B,c,a,b
600101,A,b,b,b
600103,A,b,a,a
600104,B,c,c,c
600105,A,b,b,b
600106,A,c,b,a
600107,A,a,a,a
600108,B,b,a,a
600109,B,b,b,a
600110,B,a,b,b
600111,B,a,b,c
600113,A,a,c,b
600114,B,a,b,b
600115,B,c,c,b
600116,B,a,c,b
600117,A,c,a,a
600118,B,a,b,a
600119,A,a,a,a
600120,B,c,b,c
600121,A,c,c,b
600123,B,c,b,a
600125,B,b,b,b
600126,B,c,c,a
600127,A,b,a,b
600128,A,b,a,b
