year,month,factor,pair,R
2012,201011,INV,BB,0.017897278
2012,201012,INV,BB,-0.043462255
2012,20111,INV,BB,-0.045156316
2012,20112,INV,BB,0.104297109
2012,20113,INV,BB,-0.022702208
2012,20114,INV,BB,-0.042983727
2012,20115,INV,BB,-0.074755286
2012,20116,INV,BB,0.024242204
2012,20117,INV,BB,0.011477741
2012,20118,INV,BB,-0.03666405
2012,20119,INV,BB,-0.103390514
2012,201110,INV,BB,0.036276146
2012,201111,INV,BB,-0.045309385
2012,201112,INV,BB,-0.171140898
2012,20121,INV,BB,-0.008316072
2012,20122,INV,BB,0.137889861
2012,20123,INV,BB,-0.067594564
2012,20124,INV,BB,0.071251478
2012,20125,INV,BB,0.006258899
2012,20126,INV,BB,-0.078416833
2012,20127,INV,BB,-0.096690408
2012,20107,INV,BC,0.175686693
2012,20108,INV,BC,0.091430987
2012,20109,INV,BC,0.012442218
2012,201010,INV,BC,0.069064714
2012,201011,INV,BC,0.015570008
2012,201012,INV,BC,-0.026199436
2012,20111,INV,BC,-0.047066111
2012,20112,INV,BC,0.096197957
2012,20113,INV,BC,-0.003982742
2012,20114,INV,BC,-0.05174168
2012,20115,INV,BC,-0.060007636
2012,20116,INV,BC,0.040368227
2012,20117,INV,BC,0.015421924
2012,20118,INV,BC,-0.046573321
2012,20119,INV,BC,-0.116138453
2012,201110,INV,BC,0.053541285
2012,201111,INV,BC,-0.062051065
2012,201112,INV,BC,-0.141151174
2012,20121,INV,BC,0.004637639
2012,20122,INV,BC,0.131837211
2012,20123,INV,BC,-0.065480433
2012,20124,INV,BC,0.092246036
2012,20125,INV,BC,0.005462336
2012,20126,INV,BC,-0.079301282
2012,20127,INV,BC,-0.099209874
2012,20107,INV,BD,0.155756425
2012,20108,INV,BD,0.105563029
2012,20109,INV,BD,-0.00893589
2012,201010,INV,BD,0.066327257
2012,201011,INV,BD,0.003496844
2012,201012,INV,BD,-0.03967737
2012,20111,INV,BD,-0.042241238
2012,20112,INV,BD,0.105052298
2012,20113,INV,BD,-0.002544255
2012,20114,INV,BD,-0.032717619
2012,20115,INV,BD,-0.060652645
2012,20116,INV,BD,0.043992438
2012,20117,INV,BD,0.028766124
2012,20118,INV,BD,-0.015274719
2012,20119,INV,BD,-0.130461398
2012,201110,INV,BD,0.020569465
2012,201111,INV,BD,-0.023568948
2012,201112,INV,BD,-0.176026169
2012,20121,INV,BD,-0.004752622
2012,20122,INV,BD,0.145042525
2012,20123,INV,BD,-0.066632457
2012,20124,INV,BD,0.071879121
2012,20125,INV,BD,0.024767258
2012,20126,INV,BD,-0.050210943
2012,20127,INV,BD,-0.101986951
2012,20107,INV,BE,0.166223879
2012,20108,INV,BE,0.091337282
2012,20109,INV,BE,0.097645625
2012,201010,INV,BE,0.096396189
2012,201011,INV,BE,-0.009298133
2012,201012,INV,BE,-0.022027628
2012,20111,INV,BE,-0.026056208
2012,20112,INV,BE,0.138761019
2012,20113,INV,BE,-0.00550961
2012,20114,INV,BE,-0.04172688
2012,20115,INV,BE,-0.075162871
2012,20116,INV,BE,0.051952851
2012,20117,INV,BE,0.12577194
2012,20118,INV,BE,-0.034478086
2012,20119,INV,BE,-0.106070563
2012,201110,INV,BE,0.046650872
2012,201111,INV,BE,-0.044987731
2012,201112,INV,BE,-0.161614737
2012,20121,INV,BE,0.00456348
2012,20122,INV,BE,0.117738781
2012,20123,INV,BE,-0.069462257
2012,20124,INV,BE,0.056181555
2012,20125,INV,BE,0.026041456
2012,20126,INV,BE,-0.102839019
2012,20127,INV,BE,-0.103159435
2012,20107,BM,CA,0.152269211
2012,20108,BM,CA,0.138910177
2012,20109,BM,CA,0.034756137
