date,factor,pair,ret
20174,BM,CE,-0.029441276
20175,BM,CE,-0.073425148
20176,BM,CE,0.023780845
20177,BM,CE,0.018503436
20178,BM,CE,0.032915841
20179,BM,CE,-0.005506716
201710,BM,CE,-0.035830678
201711,BM,CE,-0.066442255
201712,BM,CE,-0.012211118
20181,BM,CE,0.002428255
20182,BM,CE,-0.068816608
20183,BM,CE,0.013596616
20184,BM,CE,-0.046098015
20185,BM,CE,-0.023600039
20186,BM,CE,-0.108409548
20187,BM,CE,0.014822344
20167,OP,CA,-0.013237636
20168,OP,CA,0.029963294
20169,OP,CA,-0.020635521
201610,OP,CA,0.033001973
201611,OP,CA,0.023258762
201612,OP,CA,-0.043746198
20171,OP,CA,-0.018683488
20172,OP,CA,0.044593838
20173,OP,CA,-0.023639512
20174,OP,CA,-0.065274046
20175,OP,CA,-0.071058329
20176,OP,CA,0.025479211
20177,OP,CA,0.014581978
20178,OP,CA,0.023927619
20179,OP,CA,0.018469347
201710,OP,CA,-0.052659772
201711,OP,CA,-0.07928881
201712,OP,CA,-0.030603649
20181,OP,CA,-0.048534255
